Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Zeros,0.2,deep_lift,1.0,1.0,0.9752,0.005653,0.1188,-0.02967,-0.005883
42,1,Zeros,0.3,deep_lift,1.0,1.0,0.9746,0.003291,0.1214,-0.03223,-0.005662
42,1,Zeros,0.4,deep_lift,1.0,1.0,0.9746,0.0007562,0.1232,-0.03405,-0.004691
42,1,Zeros,0.5,deep_lift,1.0,1.0,0.9746,-0.001215,0.1247,-0.03553,-0.003935
42,1,Zeros,0.6,deep_lift,1.0,1.0,0.9746,-0.002934,0.1243,-0.0352,-0.003004
42,1,Average,0.1,dyna_mask,1.0,1.0,0.9928,0.004117,0.09517,-0.006035,0.0006515
42,1,Average,0.2,dyna_mask,1.0,1.0,0.9933,0.004078,0.09519,-0.006047,0.0008467
42,1,Average,0.3,dyna_mask,1.0,1.0,0.9928,0.004069,0.09531,-0.006171,0.001026
42,1,Average,0.4,dyna_mask,1.0,1.0,0.9915,0.004465,0.0962,-0.007064,0.001034
42,1,Average,0.5,dyna_mask,1.0,1.0,0.9896,0.004319,0.09665,-0.007508,0.001077
42,1,Average,0.6,dyna_mask,1.0,1.0,0.9898,0.004289,0.09665,-0.007515,0.001121
42,1,Zeros,0.1,dyna_mask,1.0,1.0,0.9824,0.006922,0.1041,-0.01495,0.0008457
42,1,Zeros,0.2,dyna_mask,1.0,1.0,0.9796,0.005859,0.1066,-0.01744,0.002868
42,1,Zeros,0.3,dyna_mask,1.0,1.0,0.9774,0.006193,0.1093,-0.02015,0.004324
42,1,Zeros,0.4,dyna_mask,1.0,1.0,0.9709,0.02233,0.1314,-0.0423,0.005369
42,1,Zeros,0.5,dyna_mask,1.0,1.0,0.9719,0.01804,0.1345,-0.04536,0.006518
42,1,Zeros,0.6,dyna_mask,1.0,1.0,0.9741,0.01531,0.1322,-0.04305,0.01271
42,1,Average,0.1,extremal_mask,1.0,1.0,0.9859,0.0117,0.1083,-0.01916,-0.006941
42,1,Average,0.2,extremal_mask,1.0,1.0,0.9856,0.01214,0.109,-0.01982,-0.007477
42,1,Average,0.3,extremal_mask,1.0,1.0,0.9856,0.01263,0.1096,-0.02041,-0.008049
42,1,Average,0.4,extremal_mask,1.0,1.0,0.9854,0.01286,0.1098,-0.02068,-0.008347
42,1,Average,0.5,extremal_mask,1.0,1.0,0.9854,0.01265,0.1096,-0.02043,-0.008424
42,1,Average,0.6,extremal_mask,1.0,1.0,0.9852,0.009517,0.1054,-0.01629,-0.00747
42,1,Zeros,0.1,extremal_mask,1.0,1.0,0.9467,0.07528,0.2494,-0.1603,-0.05822
42,1,Zeros,0.2,extremal_mask,1.0,1.0,0.95,0.07746,0.2574,-0.1683,-0.05718
42,1,Zeros,0.3,extremal_mask,1.0,1.0,0.9504,0.08068,0.2646,-0.1755,-0.05551
42,1,Zeros,0.4,extremal_mask,1.0,1.0,0.9539,0.08397,0.2711,-0.182,-0.05342
42,1,Zeros,0.5,extremal_mask,1.0,1.0,0.9567,0.08273,0.2684,-0.1793,-0.05141
42,1,Zeros,0.6,extremal_mask,1.0,1.0,0.9663,0.06567,0.2356,-0.1464,-0.04734
42,1,Average,0.1,integrated_gradients,1.0,1.0,0.9917,0.0006149,0.0908,-0.001666,0.003751
42,1,Average,0.2,integrated_gradients,1.0,1.0,0.9891,0.001457,0.09252,-0.003379,0.003135
42,1,Average,0.3,integrated_gradients,1.0,1.0,0.9876,0.002107,0.09392,-0.004778,0.002364
42,1,Average,0.4,integrated_gradients,1.0,1.0,0.9874,0.00282,0.09523,-0.006096,0.001739
42,1,Average,0.5,integrated_gradients,1.0,1.0,0.9865,0.003499,0.09662,-0.007484,0.001232
42,1,Average,0.6,integrated_gradients,1.0,1.0,0.9856,0.004014,0.09794,-0.0088,0.0007746
42,1,Zeros,0.1,integrated_gradients,1.0,1.0,0.9789,0.01168,0.1158,-0.02668,-0.009348
42,1,Zeros,0.2,integrated_gradients,1.0,1.0,0.9754,0.00802,0.1227,-0.03357,-0.007925
42,1,Zeros,0.3,integrated_gradients,1.0,1.0,0.9746,0.006072,0.1268,-0.0377,-0.006672
42,1,Zeros,0.4,integrated_gradients,1.0,1.0,0.9748,0.00283,0.1264,-0.03724,-0.005502
42,1,Zeros,0.5,integrated_gradients,1.0,1.0,0.9746,0.0004393,0.1266,-0.03744,-0.004364
42,1,Zeros,0.6,integrated_gradients,1.0,1.0,0.9746,-0.001838,0.1261,-0.03697,-0.00293
42,1,Average,0.1,augmented_occlusion,1.0,1.0,0.992,0.0007675,0.09105,-0.001907,0.003204
42,1,Average,0.2,augmented_occlusion,1.0,1.0,0.9902,0.00189,0.09306,-0.003919,0.002326
42,1,Average,0.3,augmented_occlusion,1.0,1.0,0.9891,0.002356,0.09403,-0.00489,0.001901
42,1,Average,0.4,augmented_occlusion,1.0,1.0,0.9883,0.002918,0.09513,-0.005987,0.001468
42,1,Average,0.5,augmented_occlusion,1.0,1.0,0.9874,0.003445,0.09613,-0.006991,0.001011
42,1,Average,0.6,augmented_occlusion,1.0,1.0,0.9874,0.003773,0.09712,-0.007982,0.0009146
42,1,Zeros,0.1,augmented_occlusion,1.0,1.0,0.9754,0.008991,0.1118,-0.02271,-0.005372
42,1,Zeros,0.2,augmented_occlusion,1.0,1.0,0.9756,0.006904,0.1182,-0.02903,-0.005481
42,1,Zeros,0.3,augmented_occlusion,1.0,1.0,0.9748,0.005319,0.1232,-0.03404,-0.005374
42,1,Zeros,0.4,augmented_occlusion,1.0,1.0,0.9746,0.004053,0.127,-0.03785,-0.005251
42,1,Zeros,0.5,augmented_occlusion,1.0,1.0,0.9743,0.002108,0.1276,-0.0385,-0.004215
42,1,Zeros,0.6,augmented_occlusion,1.0,1.0,0.9746,-0.0001484,0.1274,-0.03831,-0.00311
42,1,Average,0.1,occlusion,1.0,1.0,0.9909,-0.000754,0.08972,-0.0005827,0.005401
42,1,Average,0.2,occlusion,1.0,1.0,0.9896,-0.0004358,0.09082,-0.001676,0.004885
42,1,Average,0.3,occlusion,1.0,1.0,0.9896,-0.0003251,0.09103,-0.001896,0.004659
42,1,Average,0.4,occlusion,1.0,1.0,0.9883,0.0007882,0.09278,-0.003639,0.003575
42,1,Average,0.5,occlusion,1.0,1.0,0.988,0.001604,0.09424,-0.005104,0.002828
42,1,Average,0.6,occlusion,1.0,1.0,0.987,0.002512,0.09571,-0.006569,0.002004
42,1,Zeros,0.1,occlusion,1.0,1.0,0.9765,0.007088,0.1123,-0.0232,-0.004437
